CustomerID,SignupDate,Plan,MonthlyPrice,ContractType,Region,AcquisitionChannel,SupportTier,TenureMonths,AvgLoginsPerMonth,SupportTickets,SatisfactionScore,Churned,ChurnDate,CustomerLifetimeValue
CUST10039,2023-01-04,Standard,19.99,Monthly,East,Email Campaign,Priority Support,24,6.5,0,7.2,0,,479.76
CUST10040,2024-02-19,Basic,9.99,Annual,South,Email Campaign,Standard Support,10,2.5,1,7.1,0,,109.89
CUST10041,2022-12-24,Standard,19.99,Monthly,East,Referral,Priority Support,22,12.0,0,9.4,1,2024-10-14,439.78
CUST10042,2022-08-25,Basic,9.99,Monthly,East,Email Campaign,Self-Service,28,7.8,2,7.4,0,,279.72
CUST10043,2023-01-23,Basic,9.99,Monthly,South,Email Campaign,Self-Service,23,6.9,1,6.4,0,,229.77
CUST10044,2023-05-16,Standard,19.99,Monthly,North,Referral,Standard Support,19,11.8,0,7.6,0,,379.81
CUST10045,2023-02-01,Basic,9.99,Annual,West,Social Media,Self-Service,23,11.0,2,9.8,0,,252.75
CUST10046,2023-10-29,Standard,19.99,Monthly,Central,Paid Ads,Self-Service,7,14.5,1,5.1,1,2024-05-26,139.93
CUST10047,2024-09-24,Standard,19.99,Monthly,Central,Organic Search,Standard Support,3,8.8,0,9.0,0,,59.97
CUST10048,2023-05-31,Standard,19.99,Monthly,West,Email Campaign,Standard Support,2,10.4,2,7.1,1,2023-07-30,39.98
CUST10049,2021-06-13,Premium,39.99,Annual,Central,Organic Search,Self-Service,43,13.9,0,5.4,0,,1891.53
CUST10050,2023-12-05,Basic,9.99,Annual,East,Organic Search,Self-Service,13,9.5,1,7.9,0,,142.86
CUST10051,2024-07-03,Standard,19.99,Monthly,North,Social Media,Self-Service,6,12.1,1,7.0,1,2024-12-30,119.94
CUST10052,2021-03-22,Basic,9.99,Monthly,East,Organic Search,Standard Support,46,2.5,0,4.8,0,,459.54
CUST10053,2021-04-13,Basic,9.99,Annual,North,Social Media,Priority Support,45,0.0,1,10.0,0,,494.51
CUST10054,2021-04-16,Standard,19.99,Monthly,North,Referral,Standard Support,45,11.0,2,7.7,0,,899.55
CUST10055,2022-07-03,Standard,19.99,Monthly,West,Paid Ads,Self-Service,15,9.3,0,7.9,1,2023-09-26,299.85
CUST10056,2021-11-19,Standard,19.99,Monthly,South,Social Media,Self-Service,37,8.6,2,6.8,0,,739.63
CUST10057,2024-09-08,Basic,9.99,Monthly,East,Social Media,Self-Service,1,0.0,2,7.9,1,2024-10-08,9.99
CUST10058,2022-01-15,Premium,39.99,Monthly,South,Paid Ads,Standard Support,36,13.9,2,9.4,0,,1439.64
CUST10059,2022-08-23,Standard,19.99,Monthly,North,Organic Search,Standard Support,28,9.2,1,10.0,0,,559.72
CUST10060,2021-11-02,Basic,9.99,Monthly,South,Paid Ads,Standard Support,28,0.0,1,7.0,1,2024-02-20,279.72
CUST10061,2023-10-25,Premium,39.99,Monthly,East,Social Media,Self-Service,9,18.9,2,6.9,1,2024-07-21,359.91
CUST10062,2021-08-10,Standard,19.99,Monthly,East,Organic Search,Self-Service,41,9.0,2,10.0,0,,819.59
CUST10063,2024-10-11,Standard,19.99,Monthly,North,Social Media,Self-Service,1,9.4,2,6.8,1,2024-11-10,19.99
CUST10064,2021-01-31,Premium,39.99,Annual,West,Paid Ads,Self-Service,47,11.4,2,,0,,2067.48
CUST10065,2021-09-14,Basic,9.99,Monthly,East,Paid Ads,Standard Support,40,9.5,1,8.9,0,,399.6
CUST10066,2024-08-22,Standard,19.99,Annual,North,Paid Ads,Self-Service,4,8.1,2,5.6,0,,87.96
CUST10067,2024-07-28,Basic,9.99,Annual,East,Referral,Self-Service,4,1.8,2,7.0,1,2024-11-25,43.96
CUST10068,2021-06-05,Basic,9.99,Monthly,East,Email Campaign,Self-Service,9,9.9,2,4.3,1,2022-03-02,89.91
CUST10069,2022-12-08,Basic,9.99,Monthly,North,Organic Search,Self-Service,25,8.5,1,4.8,0,,249.75
CUST10070,2021-07-01,Standard,19.99,Monthly,West,Social Media,Standard Support,32,4.4,0,6.4,1,2024-02-16,639.68
CUST10071,2023-04-09,Standard,19.99,Annual,Central,Email Campaign,Self-Service,21,8.1,2,6.6,0,,461.77
CUST10072,2022-09-10,Standard,19.99,Monthly,South,Email Campaign,Priority Support,28,8.5,1,9.2,0,,559.72
CUST10073,2021-06-16,Basic,9.99,Monthly,West,Social Media,Self-Service,43,8.0,2,4.0,0,,429.57
CUST10074,2021-09-19,Basic,9.99,Monthly,North,Paid Ads,Priority Support,7,1.8,0,10.0,1,2022-04-17,69.93
CUST10075,2023-02-04,Basic,9.99,Monthly,Central,Social Media,Self-Service,23,5.5,0,8.0,0,,229.77
CUST10076,2021-05-01,Basic,9.99,Monthly,West,Organic Search,Self-Service,44,9.4,1,7.5,0,,439.56
CUST10077,2021-09-10,Basic,9.99,Monthly,Central,Email Campaign,Self-Service,16,7.8,1,5.0,1,2023-01-03,159.84
CUST10078,2023-05-11,Basic,9.99,Annual,West,Organic Search,Standard Support,20,6.2,0,6.2,0,,219.78
CUST10079,2024-05-11,Basic,9.99,Monthly,West,Referral,Standard Support,6,9.4,0,7.0,1,2024-11-07,59.94
CUST10080,2022-05-05,Premium,39.99,Monthly,East,Organic Search,Self-Service,32,17.0,1,4.6,0,,1279.68
CUST10081,2021-06-09,Premium,39.99,Annual,North,Paid Ads,Self-Service,43,19.8,0,7.3,0,,1891.53
CUST10082,2021-08-05,Standard,19.99,Monthly,South,Organic Search,Self-Service,5,6.4,3,10.0,1,2022-01-02,99.95
CUST10083,2021-01-28,Basic,9.99,Monthly,East,Email Campaign,Self-Service,47,0.0,4,6.8,0,,469.53
CUST10084,2021-10-16,Premium,39.99,Monthly,West,Paid Ads,Standard Support,39,18.8,1,10.0,0,,1559.61
CUST10085,2023-12-26,Basic,9.99,Monthly,East,Email Campaign,Self-Service,12,4.0,3,6.9,0,,119.88
CUST10086,2021-03-15,Premium,39.99,Monthly,Central,Referral,Priority Support,46,26.4,0,6.9,0,,1839.54
CUST10087,2022-06-06,Basic,9.99,Annual,Central,Organic Search,Self-Service,31,3.7,1,7.2,0,,340.66
CUST10088,2021-04-09,Standard,19.99,Monthly,Central,Social Media,Self-Service,29,11.0,1,8.4,1,2023-08-27,579.71
CUST10089,2021-03-20,Basic,9.99,Monthly,South,Referral,Self-Service,43,2.8,2,5.8,1,2024-09-30,429.57
CUST10090,2023-03-30,Standard,19.99,Monthly,South,Email Campaign,Self-Service,7,16.1,4,8.1,1,2023-10-26,139.93
CUST10091,2021-10-09,Premium,39.99,Monthly,North,Organic Search,Standard Support,39,14.6,0,6.6,0,,1559.61
CUST10092,2021-07-22,Standard,19.99,Annual,North,Organic Search,Self-Service,41,12.9,2,6.9,0,,901.55
CUST10093,2021-12-27,Basic,9.99,Monthly,East,Organic Search,Self-Service,36,10.7,0,7.1,0,,359.64
CUST10094,2022-10-13,Basic,9.99,Monthly,South,Organic Search,Self-Service,27,4.4,0,4.4,0,,269.73
CUST10095,2022-05-21,Standard,19.99,Monthly,South,Organic Search,Self-Service,31,13.9,3,6.7,0,,619.69
CUST10096,2021-04-27,Basic,9.99,Annual,East,Social Media,Standard Support,44,5.3,0,7.1,0,,483.52
CUST10097,2024-08-15,Basic,9.99,Monthly,North,Referral,Self-Service,4,10.3,3,5.5,1,2024-12-13,39.96
CUST10098,2024-12-20,Standard,19.99,Monthly,East,Organic Search,Priority Support,1,12.2,0,6.8,0,,19.99
CUST10099,2023-02-05,Premium,39.99,Annual,North,Organic Search,Self-Service,21,12.6,2,7.8,1,2024-10-27,923.77
CUST10100,2024-12-25,Basic,9.99,Monthly,North,Referral,Priority Support,1,3.1,0,7.3,1,2024-12-31,9.99
CUST10101,2021-08-19,Basic,9.99,Monthly,West,Organic Search,Self-Service,41,6.5,2,8.5,0,,409.59
CUST10102,2021-08-20,Premium,39.99,Monthly,East,Referral,Standard Support,40,19.0,1,10.0,0,,1599.6
CUST10103,2024-09-23,Standard,19.99,Monthly,West,Social Media,Standard Support,3,14.8,1,5.1,0,,59.97
CUST10104,2021-12-20,Basic,9.99,Monthly,South,Paid Ads,Self-Service,11,1.0,1,5.3,1,2022-11-15,109.89
CUST10105,2023-08-05,Basic,9.99,Monthly,East,Paid Ads,Priority Support,17,9.1,0,9.0,0,,169.83
CUST10106,2023-11-22,Standard,19.99,Monthly,South,Paid Ads,Priority Support,13,17.1,1,6.6,0,,259.87
CUST10107,2023-05-10,Basic,9.99,Monthly,North,Social Media,Self-Service,20,5.7,1,4.6,0,,199.8
CUST10108,2021-04-18,Standard,19.99,Monthly,North,Social Media,Priority Support,45,8.8,0,6.0,0,,899.55
CUST10109,2024-08-07,Basic,9.99,Monthly,North,Organic Search,Standard Support,4,5.4,0,7.2,0,,39.96
CUST10110,2022-03-16,Basic,9.99,Monthly,Central,Referral,Standard Support,34,9.1,3,10.0,0,,339.66
CUST10111,2024-03-19,Basic,9.99,Monthly,East,Social Media,Self-Service,7,9.2,2,5.5,1,2024-10-15,69.93
CUST10112,2021-05-04,Premium,39.99,Monthly,South,Referral,Self-Service,44,17.6,1,5.3,0,,1759.56
CUST10113,2024-04-11,Standard,19.99,Monthly,West,Email Campaign,Priority Support,8,16.0,0,7.4,0,,159.92
CUST10114,2023-10-25,Basic,9.99,Monthly,South,Organic Search,Self-Service,14,0.9,2,7.3,0,,139.86
CUST10115,2023-07-16,Standard,19.99,Monthly,Central,Social Media,Self-Service,13,10.9,1,5.3,1,2024-08-09,259.87
CUST10116,2023-06-20,Premium,39.99,Annual,North,Referral,Self-Service,18,18.0,5,5.2,0,,791.8
CUST10117,2022-03-24,Basic,9.99,Annual,South,Email Campaign,Standard Support,26,5.6,1,7.6,1,2024-05-12,285.71
CUST10118,2022-08-03,Standard,19.99,Monthly,West,Organic Search,Self-Service,29,8.0,1,3.6,0,,579.71
CUST10119,2023-04-16,Standard,19.99,Monthly,East,Organic Search,Self-Service,20,13.0,2,8.3,0,,399.8
CUST10120,2022-11-03,Standard,19.99,Annual,North,Referral,Priority Support,26,11.4,0,7.8,0,,571.71
CUST10121,2023-04-09,Basic,9.99,Annual,East,Paid Ads,Standard Support,21,2.2,3,6.8,0,,230.77
CUST10122,2022-11-29,Basic,9.99,Annual,North,Organic Search,Standard Support,25,8.0,0,8.3,0,,274.73
CUST10123,2024-08-20,Basic,9.99,Monthly,South,Paid Ads,Standard Support,4,6.6,1,4.6,0,,39.96
CUST10124,2022-07-28,Premium,39.99,Monthly,South,Organic Search,Standard Support,29,25.7,2,7.0,0,,1159.71
CUST10125,2023-11-11,Basic,9.99,Annual,Central,Organic Search,Self-Service,13,5.8,0,5.6,0,,142.86
CUST10126,2024-09-01,Standard,19.99,Monthly,North,Organic Search,Priority Support,4,11.0,1,7.1,0,,79.96
CUST10127,2024-03-23,Standard,19.99,Monthly,Central,Social Media,Self-Service,9,13.3,2,5.9,0,,179.91
CUST10128,2022-08-29,Basic,9.99,Monthly,North,Social Media,Priority Support,28,1.1,0,5.0,0,,279.72
CUST10129,2023-09-10,Basic,9.99,Annual,South,Referral,Self-Service,15,7.8,0,6.7,0,,164.84
CUST10130,2022-05-22,Basic,9.99,Monthly,Central,Organic Search,Priority Support,31,9.0,0,6.8,0,,309.69
CUST10131,2021-11-18,Standard,19.99,Monthly,Central,Paid Ads,Self-Service,37,9.6,2,6.3,0,,739.63
CUST10132,2022-01-27,Standard,19.99,Annual,South,Paid Ads,Self-Service,35,15.2,2,8.7,0,,769.62
CUST10133,2024-08-14,Basic,9.99,Monthly,East,Social Media,Self-Service,4,4.9,0,7.0,0,,39.96
CUST10134,2021-03-26,Basic,9.99,Monthly,East,Social Media,Self-Service,15,10.6,0,3.1,1,2022-06-19,149.85
CUST10135,2021-11-14,Basic,9.99,Monthly,South,Email Campaign,Priority Support,38,10.0,0,7.6,0,,379.62
CUST10136,2023-05-15,Premium,39.99,Annual,West,Organic Search,Self-Service,19,8.4,1,7.9,0,,835.79
CUST10137,2023-02-02,Basic,9.99,Monthly,North,Organic Search,Self-Service,23,9.4,0,5.5,0,,229.77
CUST10138,2024-11-05,Standard,19.99,Monthly,North,Social Media,Self-Service,1,11.1,1,6.4,1,2024-12-05,19.99
CUST10139,2022-10-04,Standard,19.99,Monthly,North,Paid Ads,Self-Service,27,8.5,2,7.3,0,,539.73
CUST10140,2024-11-17,Premium,39.99,Monthly,Central,Organic Search,Priority Support,1,17.3,0,3.8,0,,39.99
CUST10141,2021-05-28,Standard,19.99,Annual,East,Organic Search,Standard Support,43,11.1,0,8.2,0,,945.53
CUST10142,2024-02-27,Standard,19.99,Annual,West,Social Media,Standard Support,10,12.1,1,8.2,0,,219.89
CUST10143,2023-12-10,Premium,39.99,Monthly,West,Paid Ads,Standard Support,12,20.3,0,7.2,0,,479.88
CUST10144,2022-12-25,Standard,19.99,Annual,West,Paid Ads,Priority Support,24,8.7,0,6.7,0,,527.74
CUST10145,2023-01-23,Basic,9.99,Annual,North,Email Campaign,Self-Service,23,5.3,3,9.6,0,,252.75
CUST10146,2021-08-07,Basic,9.99,Monthly,South,Email Campaign,Standard Support,41,3.5,2,6.2,0,,409.59
CUST10147,2023-04-02,Basic,9.99,Annual,South,Paid Ads,Standard Support,21,9.2,1,6.0,0,,230.77
CUST10148,2023-11-14,Basic,9.99,Monthly,SOUTH,Paid Ads,Standard Support,13,8.0,1,7.8,0,,129.87
CUST10149,2022-11-17,Standard,19.99,Annual,Central,Email Campaign,Standard Support,25,7.3,0,6.9,0,,549.73
CUST10150,2022-03-11,Standard,19.99,Monthly,East,Organic Search,Standard Support,4,7.3,0,5.7,1,2022-07-09,79.96
CUST10151,2024-12-23,Basic,9.99,Annual,South,Paid Ads,Priority Support,1,8.4,1,9.8,0,,10.99
CUST10152,2023-12-21,Standard,19.99,Monthly,South,Organic Search,Self-Service,4,14.4,1,7.4,1,2024-04-19,79.96
CUST10153,2021-03-30,Standard,19.99,Monthly,NORTH,Email Campaign,Standard Support,45,10.9,0,6.9,0,,899.55
CUST10154,2023-08-02,Premium,39.99,Monthly,North,Paid Ads,Self-Service,17,18.6,3,7.5,0,,679.83
CUST10155,2022-04-15,Basic,9.99,Monthly,North,Paid Ads,Standard Support,33,3.0,0,8.9,0,,329.67
CUST10156,2024-12-14,Basic,9.99,Annual,North,Email Campaign,Self-Service,1,11.5,0,3.4,0,,10.99
CUST10157,2022-09-18,Premium,39.99,Monthly,East,Paid Ads,Priority Support,27,8.4,0,9.2,0,,1079.73
CUST10158,2023-10-19,Standard,19.99,Annual,East,Paid Ads,Self-Service,14,13.7,2,5.4,0,,307.85
CUST10159,2023-07-19,Standard,19.99,Monthly,West,Organic Search,Self-Service,17,6.7,0,6.9,0,,339.83
CUST10160,2021-07-31,Premium,39.99,Monthly,West,Organic Search,Priority Support,41,15.9,1,9.8,0,,1639.59
CUST10161,2023-02-20,Standard,19.99,Annual,NORTH,Email Campaign,Priority Support,22,16.4,1,7.9,0,,483.76
CUST10162,2024-10-19,Standard,19.99,Monthly,East,Organic Search,Standard Support,2,9.8,0,9.3,0,,39.98
CUST10163,2024-04-29,Basic,9.99,Monthly,North,Email Campaign,Self-Service,8,5.4,1,10.0,0,,79.92
CUST10164,2024-06-12,Standard,19.99,Annual,South,Organic Search,Standard Support,6,8.4,0,6.1,0,,131.93
CUST10165,2022-06-21,Standard,19.99,Monthly,Central,Paid Ads,Self-Service,30,8.0,0,7.7,0,,599.7
CUST10166,2024-06-08,Standard,19.99,Annual,Central,Organic Search,Standard Support,6,7.8,0,7.2,0,,131.93
CUST10167,2024-07-03,Basic,9.99,Monthly,West,Referral,Self-Service,2,8.3,2,6.8,1,2024-09-01,19.98
CUST10168,2021-06-02,Basic,9.99,Monthly,East,Paid Ads,Self-Service,22,11.4,1,5.7,1,2023-03-24,219.78
CUST10169,2021-03-08,Basic,9.99,Monthly,West,Referral,Standard Support,46,12.5,0,7.7,0,,459.54
CUST10170,2021-12-09,Standard,19.99,Monthly,South,Social Media,Self-Service,19,12.2,2,6.2,1,2023-07-02,379.81
CUST10171,2023-05-23,Premium,39.99,Monthly,East,Organic Search,Self-Service,14,21.2,2,4.3,1,2024-07-16,559.86
CUST10172,2023-08-31,Basic,9.99,Annual,East,Social Media,Standard Support,16,7.3,0,6.0,0,,175.82
CUST10173,2021-11-24,Basic,9.99,Monthly,West,Organic Search,Self-Service,37,0.4,0,7.4,0,,369.63
CUST10174,2022-09-24,Basic,9.99,Monthly,Central,Social Media,Priority Support,27,0.0,0,8.1,0,,269.73
CUST10175,2021-09-07,Standard,19.99,Annual,East,Paid Ads,Self-Service,40,3.9,1,7.5,0,,879.56
CUST10176,2024-09-09,Standard,19.99,Monthly,North,Paid Ads,Self-Service,3,8.9,1,7.8,1,2024-12-08,59.97
CUST10177,2024-01-08,Basic,9.99,Annual,South,Referral,Priority Support,11,5.7,0,10.0,0,,120.88
CUST10178,2022-05-04,Basic,9.99,Annual,West,Organic Search,Self-Service,19,2.1,1,9.4,1,2023-11-25,208.79
CUST10179,2023-10-21,Basic,9.99,Monthly,Central,Social Media,Standard Support,14,7.1,1,4.6,0,,139.86
CUST10180,2024-07-28,Standard,19.99,Monthly,South,Social Media,Self-Service,5,3.9,2,7.0,0,,99.95
CUST10181,2021-05-09,Premium,39.99,Monthly,North,Paid Ads,Standard Support,44,16.8,2,8.0,0,,1759.56
CUST10182,2021-03-21,Standard,19.99,Monthly,West,Referral,Standard Support,33,5.0,0,7.3,1,2023-12-06,659.67
CUST10183,2024-11-22,Basic,9.99,Monthly,West,Paid Ads,Self-Service,1,2.7,2,5.4,1,2024-12-22,9.99
CUST10184,2021-02-25,Standard,19.99,Monthly,West,Organic Search,Self-Service,18,6.5,3,5.7,1,2022-08-19,359.82
CUST10185,2021-05-16,Standard,19.99,Monthly,Central,Social Media,Self-Service,44,17.1,0,6.4,0,,879.56
CUST10186,2022-06-07,Standard,19.99,Monthly,Central,Social Media,Self-Service,31,9.7,1,5.8,0,,619.69
CUST10187,2023-04-10,Premium,39.99,Monthly,Central,Referral,Self-Service,21,23.0,3,5.3,0,,839.79
CUST10188,2023-12-04,Standard,19.99,Annual,Central,Social Media,Self-Service,13,15.4,1,6.2,0,,285.86
CUST10189,2022-02-01,Premium,39.99,Monthly,West,Social Media,Standard Support,35,18.7,1,8.3,0,,1399.65
CUST10190,2022-02-16,Basic,9.99,Monthly,East,Paid Ads,Self-Service,14,10.1,2,6.2,1,2023-04-12,139.86
CUST10191,2024-03-03,Basic,9.99,Monthly,Central,Referral,Self-Service,10,8.6,2,5.4,0,,99.9
CUST10192,2024-04-29,Standard,19.99,Monthly,North,Email Campaign,Self-Service,1,7.6,1,8.0,1,2024-05-29,19.99
CUST10193,2022-11-23,Basic,9.99,Monthly,North,Paid Ads,Priority Support,25,0.8,1,9.4,0,,249.75
CUST10194,2023-05-13,Basic,9.99,Monthly,West,Social Media,Standard Support,11,2.8,1,6.6,1,2024-04-07,109.89
CUST10195,2022-09-05,Standard,19.99,Monthly,South,Organic Search,Priority Support,28,12.1,1,9.6,0,,559.72
CUST10196,2023-02-17,Standard,19.99,Monthly,North,Paid Ads,Standard Support,9,13.2,0,8.3,1,2023-11-14,179.91
CUST10197,2022-11-07,Standard,19.99,Monthly,Central,Referral,Priority Support,26,8.7,0,6.6,0,,519.74
CUST10198,2022-04-23,Premium,39.99,Monthly,North,Organic Search,Self-Service,32,15.1,0,6.1,0,,1279.68
CUST10199,2021-08-13,Basic,9.99,Monthly,West,Email Campaign,Self-Service,41,9.1,2,5.9,0,,409.59
CUST10200,2022-05-05,Basic,9.99,Annual,East,Organic Search,Self-Service,32,7.3,2,7.5,0,,351.65
CUST10201,2023-04-07,Premium,39.99,Monthly,East,Social Media,Standard Support,1,17.8,1,6.5,1,2023-05-07,39.99
CUST10202,2022-05-28,Basic,9.99,Monthly,Central,Organic Search,Self-Service,31,4.8,2,8.0,0,,309.69
CUST10203,2022-09-29,Basic,9.99,Monthly,South,Paid Ads,Self-Service,16,6.0,5,4.1,1,2024-01-22,159.84
CUST10204,2023-04-03,Standard,19.99,Monthly,West,Organic Search,Standard Support,21,9.2,3,9.9,0,,419.79
CUST10205,2024-12-24,Standard,19.99,Monthly,West,Organic Search,Standard Support,1,16.3,0,10.0,1,2024-12-31,19.99
CUST10206,2021-08-16,Basic,9.99,Monthly,West,Organic Search,Standard Support,41,14.7,0,7.4,0,,409.59
CUST10207,2021-08-23,Standard,19.99,Monthly,West,Organic Search,Standard Support,40,14.0,1,6.6,0,,799.6
CUST10208,2021-07-01,Basic,9.99,Monthly,North,Paid Ads,Self-Service,42,10.6,1,6.6,0,,419.58
CUST10209,2023-06-23,Standard,19.99,Monthly,East,Social Media,Standard Support,18,3.8,0,8.1,0,,359.82
CUST10210,2022-06-24,Standard,19.99,Monthly,Central,Paid Ads,Priority Support,30,6.9,0,6.3,0,,599.7
CUST10211,2023-05-28,Basic,9.99,Monthly,Central,Referral,Self-Service,19,1.8,2,6.3,0,,189.81
CUST10212,2022-03-07,Basic,9.99,Monthly,East,Organic Search,Self-Service,34,2.0,3,5.9,0,,339.66
CUST10213,2022-09-27,Standard,19.99,Monthly,North,Organic Search,Self-Service,27,6.0,1,7.3,0,,539.73
CUST10214,2023-12-08,Basic,9.99,Monthly,East,Paid Ads,Self-Service,12,9.7,1,3.8,1,2024-12-02,119.88
CUST10215,2024-12-29,Premium,39.99,Monthly,North,Social Media,Self-Service,1,21.8,2,5.9,0,,39.99
CUST10216,2021-11-27,Premium,39.99,Monthly,North,Paid Ads,Self-Service,37,19.7,2,7.4,0,,1479.63
CUST10217,2021-01-13,Standard,19.99,Monthly,West,Social Media,Self-Service,48,0.0,3,6.7,0,,959.52
CUST10218,2021-04-08,Premium,39.99,Annual,East,Paid Ads,Self-Service,1,16.6,1,8.7,1,2021-05-08,43.99
CUST10219,2022-08-11,Standard,19.99,Annual,South,Social Media,Priority Support,29,12.2,0,9.5,0,,637.68
CUST10220,2024-09-08,Basic,9.99,Monthly,South,Paid Ads,Self-Service,3,2.6,2,5.7,0,,29.97
CUST10221,2022-04-25,Standard,19.99,Monthly,Central,Social Media,Self-Service,32,7.2,0,5.8,0,,639.68
CUST10222,2024-12-19,Basic,9.99,Annual,West,Email Campaign,Self-Service,1,7.4,0,8.1,0,,10.99
CUST10223,2024-06-20,Basic,9.99,Monthly,Central,Referral,Self-Service,6,3.2,1,5.6,0,,59.94
CUST10224,2023-05-21,Basic,9.99,Monthly,West,Social Media,Self-Service,19,7.5,2,7.1,0,,189.81
CUST10225,2024-05-24,Premium,39.99,Monthly,West,Referral,Standard Support,7,15.4,2,8.0,0,,279.93
CUST10226,2024-04-20,Standard,19.99,Monthly,West,Social Media,Standard Support,8,10.1,0,4.5,0,,159.92
CUST10227,2024-05-24,Basic,9.99,Annual,North,Referral,Self-Service,7,5.6,0,7.4,0,,76.92
